eps	nCompTar.m	nCompTar.std	nEndColl.m	nEndColl.std	nNonEndColl.m	nNonEndColl.std
0.0	1713.472	18.344351065109937	32.318	7.932141955361112	0.575	1.0650704202070396
0.04	1713.472	18.346585949434843	32.316	7.930456733379232	0.575	1.0650704202070396
0.08	1713.469	18.350777612951447	32.31	7.9238816245575	0.575	1.0650704202070396
0.12	1713.462	18.350982426017413	32.29	7.9284235507444984	0.577	1.0658663143190144
0.16	1713.46	18.350487731937807	32.268	7.939028655950298	0.577	1.0658663143190144
0.2	1713.443	18.35409357609359	32.222	7.916736448815257	0.577	1.0658663143190144
0.24	1713.417	18.355846779704823	32.15	7.904017965566627	0.579	1.066657864547016
0.28	1713.383	18.36388605388304	32.084	7.892334508876319	0.578	1.0667314563656591
0.32	1713.342	18.36777166669926	32.006	7.895059467793767	0.579	1.0675949606475295
0.36	1713.289	18.36457129910742	31.904	7.88256202005414	0.577	1.0668041057288822
0.4	1713.232	18.36448137029739	31.759	7.834597564648742	0.579	1.0675949606475295
0.44	1713.167	18.356663939833947	31.615	7.825265171225829	0.585	1.0699415871906277
0.48	1713.076	18.35674873173351	31.447	7.802896321238672	0.585	1.0699415871906277
0.52	1712.977	18.34198656089356	31.275	7.785716087811063	0.585	1.066196510967842
0.56	1712.885	18.348399793987486	31.097	7.764508419726261	0.587	1.066972820647274
0.6	1712.795	18.347723973288893	30.923	7.763186910026062	0.587	1.066972820647274
0.64	1712.671	18.323775784482848	30.702	7.696310544670089	0.59	1.0676609948855489
0.68	1712.521	18.334709133225974	30.424	7.671389965319193	0.59	1.0676609948855489
0.72	1712.368	18.345750897687456	30.122	7.646902379395202	0.588	1.0668908097832692
0.76	1712.202	18.34298765196117	29.806	7.6079145631375225	0.59	1.0751278993682567
0.8	1712.046	18.343606079503562	29.503	7.541219463720705	0.588	1.0743630671239588
0.84	1711.852	18.373625009779644	29.15	7.549801321889206	0.59	1.0788419717456308
0.88	1711.647	18.359858142153495	28.754	7.531101114710916	0.592	1.0795999258984785
0.92	1711.416	18.390566712312047	28.265	7.4527025299551575	0.594	1.080353645803077
0.96	1711.169	18.395119977863693	27.835	7.453977126340005	0.594	1.0766447882194017
1.0	1710.9	18.377268567444947	27.364	7.372618530752829	0.596	1.0773968628133275
1.04	1710.615	18.386265934115062	26.85	7.288175354641242	0.602	1.0833263589519089
1.08	1710.357	18.39134445873928	26.271	7.1869019055501235	0.604	1.0729324303049097
1.12	1710.041	18.38557366524091	25.636	7.114457393224026	0.608	1.0818206875448444
1.16	1709.718	18.38658413082756	24.927	7.058871793707547	0.612	1.0832617412241605
1.2	1709.393	18.383594615852473	24.248	6.925496083314177	0.614	1.0839760144947856
1.24	1708.993	18.39643854119596	23.53	6.8187315535955815	0.614	1.0802795934386615
1.28	1708.609	18.363554095000236	22.769	6.693402647383466	0.618	1.0817005130811392
1.32	1708.155	18.358675742002745	21.963	6.594211931686758	0.618	1.0817005130811392
1.36	1707.774	18.360798566511207	21.171	6.448857185579473	0.62	1.0860939185908371
1.4000000000000001	1707.308	18.360804339679675	20.304	6.252646159827054	0.616	1.084686129716795
1.44	1706.824	18.35791447850218	19.346	5.998356774984296	0.62	1.0934349546269315
1.48	1706.384	18.337735519959928	18.356	5.809067395029946	0.62	1.0934349546269315
1.52	1705.844	18.302395034530317	17.298	5.604390778666313	0.626	1.0955017115459018
1.56	1705.283	18.27235373453568	16.104	5.416934926690554	0.629	1.0969772103375712
1.6	1704.764	18.30596361844959	14.959	5.244360685536417	0.635	1.1062436440495376
1.6400000000000001	1704.25	18.33061646535653	13.879	5.034516759332518	0.637	1.1069015313025814
1.68	1703.628	18.34915845481748	12.584	4.819018987304366	0.635	1.113451840000276
1.72	1702.977	18.359751387205655	11.255	4.565739261061673	0.635	1.1170384953080175
1.76	1702.334	18.31268533012021	9.782	4.382975701506911	0.648	1.1243202390778173
1.8	1701.715	18.355156632401698	8.365	4.0548458663677955	0.655	1.1375302193788082
1.84	1701.098	18.400173803526965	6.869	3.630404798366154	0.657	1.14164399004243
1.8800000000000001	1700.399	18.391894926842095	5.168	3.115730411958005	0.656	1.1417810648281044
1.92	1699.712	18.36504985019099	3.504	2.4939895749581633	0.655	1.1419172474395856
1.96	1699.012	18.372040060918657	1.848	1.9227313904963428	0.657	1.14688752717954
2.0	1698.244	18.313122726613283	0.0	0.0	0.657	1.1477591210702707
2.04	1697.389	18.355807773018327	0.0	0.0	0.543	1.0402648701172215
