eps	nCompTar.m	nCompTar.std	nEndColl.m	nEndColl.std	nNonEndColl.m	nNonEndColl.std
0.0	1712.932	18.32406548776772	32.219	7.915367268800607	0.552	1.0340676960431554
0.04	1712.932	18.326139146039463	32.217	7.913653454631432	0.552	1.0340676960431554
0.08	1712.929	18.33024710689957	32.211	7.90698925002431	0.552	1.0340676960431554
0.12	1712.919	18.33118760473527	32.189	7.912097003955399	0.552	1.0340676960431554
0.16	1712.916	18.33060129946642	32.167	7.922443499325192	0.552	1.0340676960431554
0.2	1712.898	18.334873765586718	32.121	7.902553954260609	0.552	1.0340676960431554
0.24	1712.871	18.33729421152423	32.051	7.892173274833746	0.554	1.0349318818163833
0.28	1712.834	18.345038675347624	31.983	7.877354314742989	0.553	1.0349835747488945
0.32	1712.791	18.348714369132242	31.905	7.879592311788725	0.554	1.0358976783447293
0.36	1712.74	18.34569159230581	31.801	7.871048151294718	0.552	1.0350342989485903
0.4	1712.678	18.34203685526774	31.658	7.821958578259029	0.552	1.0350342989485903
0.44	1712.615	18.33588762509195	31.512	7.810368493227448	0.556	1.0367564805681226
0.48	1712.527	18.340808897101567	31.348	7.786584360295597	0.558	1.0414585925518114
0.52	1712.428	18.326123867310294	31.174	7.767736092324456	0.558	1.0376107169839757
0.56	1712.337	18.33219656778751	31.0	7.74002583975015	0.56	1.0384603988597734
0.6	1712.241	18.33054606387928	30.822	7.735393719779233	0.56	1.0384603988597734
0.64	1712.121	18.313556699887652	30.605	7.674957654606311	0.563	1.039245399316254
0.68	1711.971	18.322777054802582	30.329	7.647925143462114	0.563	1.039245399316254
0.72	1711.811	18.3278825563675	30.031	7.628501753293369	0.561	1.0384021379022677
0.76	1711.645	18.32509140495621	29.713	7.591615835907399	0.563	1.0430872446732347
0.8	1711.493	18.329646777829627	29.412	7.525174815245158	0.563	1.0430872446732347
0.84	1711.292	18.35316692018029	29.053	7.538314864742651	0.565	1.0477475841060193
0.88	1711.086	18.344334384217927	28.657	7.518733337471145	0.567	1.0485757006530334
0.92	1710.851	18.376093137552385	28.172	7.442608144998633	0.569	1.0493993520104727
0.96	1710.602	18.382208681222178	27.744	7.438310560873348	0.569	1.0455806998983865
1.0	1710.333	18.361756751465805	27.275	7.357402734661193	0.573	1.0548322141459276
1.04	1710.036	18.36808928549728	26.761	7.284633072434054	0.577	1.0602221465334518
1.08	1709.776	18.37024289442031	26.18	7.172001115448881	0.575	1.0480338734983712
1.12	1709.465	18.35736296421684	25.557	7.089199602211804	0.581	1.058035443640713
1.16	1709.134	18.356852780365156	24.848	7.0362558225237954	0.585	1.0596107775971324
1.2	1708.796	18.348852389182273	24.165	6.904619830229612	0.587	1.0603919086828228
1.24	1708.399	18.359297344942153	23.455	6.79793902591072	0.587	1.0566129849665864
1.28	1708.012	18.328771262689706	22.7	6.679820356865894	0.591	1.0581677560765117
1.32	1707.562	18.325996725962817	21.902	6.58151927749209	0.591	1.0581677560765117
1.36	1707.167	18.332406034124382	21.112	6.443248869941313	0.591	1.0581677560765117
1.4000000000000001	1706.695	18.333029618696415	20.247	6.249159223447583	0.591	1.0581677560765117
1.44	1706.213	18.32985627330449	19.291	5.995524914467457	0.593	1.0627092735080466
1.48	1705.764	18.310660938371395	18.3	5.7918908829500575	0.593	1.0627092735080466
1.52	1705.214	18.273483630660028	17.242	5.591729249525589	0.599	1.0649877933572758
1.56	1704.653	18.246604917079782	16.058	5.403576223206257	0.602	1.0665814549297208
1.6	1704.13	18.273508147041717	14.909	5.249068393534228	0.608	1.076260191589376
1.6400000000000001	1703.605	18.307183699302303	13.833	5.035187285493957	0.606	1.0755296369696188
1.68	1702.982	18.321836043366396	12.55	4.824261601530331	0.602	1.0740558644688831
1.72	1702.342	18.326020735555225	11.231	4.562635093890372	0.6	1.0770329614269007
1.76	1701.687	18.287018100280868	9.762	4.372797274056962	0.613	1.0850027649734353
1.8	1701.063	18.325147502816996	8.345	4.034845102355232	0.62	1.0989085494252921
1.84	1700.435	18.370513738053162	6.851	3.6142494379884735	0.622	1.1032298038033599
1.8800000000000001	1699.731	18.363023688924436	5.156	3.1125012449796707	0.619	1.0990172883080596
1.92	1699.037	18.334983801465437	3.492	2.4883601025575057	0.618	1.0991251066188963
1.96	1698.332	18.331060416680753	1.844	1.9203291384551764	0.618	1.0991251066188963
2.0	1697.556	18.27755082061051	0.0	0.0	0.617	1.0992320046286863
2.04	1696.694	18.32354670908446	0.0	0.0	0.509	1.004947262297878
2.08	1695.659	18.31209215245489	0.0	0.0	0.437	0.9370330837275703
2.12	1694.622	18.286473580217702	0.0	0.0	0.385	0.8722241684337806
2.16	1693.483	18.228925119161577	0.0	0.0	0.345	0.8185200058642428
2.2	1692.258	18.237363734926163	0.0	0.0	0.313	0.7765507066508922
2.24	1690.968	18.217765395349673	0.0	0.0	0.273	0.7228215547422476
2.2800000000000002	1689.663	18.162913615386714	0.0	0.0	0.267	0.7167363532010917
2.32	1688.259	18.148606530530106	0.0	0.0	0.263	0.7126226210274271
2.36	1686.792	18.162619194378323	0.0	0.0	0.251	0.6884758528808399
2.4	1685.246	18.146280169775846	0.0	0.0	0.231	0.6660623093975518
2.44	1683.639	18.132144908973125	0.0	0.0	0.217	0.6433591531951651
2.48	1682.023	18.160684761318883	0.0	0.0	0.213	0.6446945012949933
2.52	1680.264	18.144373893854812	0.0	0.0	0.197	0.618215981676307
2.56	1678.511	18.124124227117843	0.0	0.0	0.187	0.5916341775117457
2.6	1676.664	18.10837110289051	0.0	0.0	0.175	0.5747825675853435
2.64	1674.731	18.088577583657592	0.0	0.0	0.169	0.5589624316535056
2.68	1672.755	17.97111501827307	0.0	0.0	0.153	0.5344071481557858
2.72	1670.665	17.963428820801443	0.0	0.0	0.145	0.5215122242095577
2.7600000000000002	1668.521	17.975582299330387	0.0	0.0	0.143	0.5182190656469521
2.8000000000000003	1666.392	17.924629312764043	0.0	0.0	0.129	0.4943268149716339
2.84	1664.199	17.91277195187836	0.0	0.0	0.125	0.4872114530673515
2.88	1661.91	17.938336043234333	0.0	0.0	0.119	0.4762761803827691
2.92	1659.626	17.910782339138624	0.0	0.0	0.115	0.46880166381957306
2.96	1657.217	17.963738781222578	0.0	0.0	0.107	0.4533773262967613
3.0	1654.724	17.959727837581504	0.0	0.0	0.103	0.44541104611358706
3.04	1652.092	17.99865372743195	0.0	0.0	0.099	0.43726307870662945
3.08	1649.463	18.00929290671902	0.0	0.0	0.096	0.42753245490839636
3.12	1646.793	18.094644262875132	0.0	0.0	0.094	0.42327768663136495
3.16	1644.141	18.177159266508067	0.0	0.0	0.094	0.42327768663136495
3.2	1641.392	18.174001650709727	0.0	0.0	0.084	0.4011782646156194
3.24	1638.543	18.23924754478649	0.0	0.0	0.082	0.39658038277252194
3.2800000000000002	1635.604	18.246785579931604	0.0	0.0	0.078	0.3871898759007007
3.3200000000000003	1632.672	18.244627044694557	0.0	0.0	0.068	0.3624582734605461
3.36	1629.534	18.280559181819356	0.0	0.0	0.064	0.35200000000000004
3.4	1626.369	18.356819958805502	0.0	0.0	0.062	0.3466352549871406
3.44	1623.197	18.266203519067666	0.0	0.0	0.06	0.3411744421846396
3.48	1619.828	18.22839587018013	0.0	0.0	0.05	0.3122498999199199
3.52	1616.414	18.23054041985591	0.0	0.0	0.046	0.2998066043301915
3.56	1612.949	18.185499690687635	0.0	0.0	0.038	0.27304944607158604
3.6	1609.426	18.049779056819503	0.0	0.0	0.036	0.265902237673924
3.64	1605.853	17.983086247916404	0.0	0.0	0.038	0.27304944607158604
3.68	1602.218	17.932386232735453	0.0	0.0	0.034	0.2585420662097369
3.72	1598.388	17.95348033112243	0.0	0.0	0.034	0.2585420662097369
3.7600000000000002	1594.559	17.98967812385758	0.0	0.0	0.03	0.24310491562286438
3.8000000000000003	1590.627	17.999718636689853	0.0	0.0	0.026	0.22654800815721152
3.84	1586.56	18.010396997290204	0.0	0.0	0.026	0.22654800815721152
3.88	1582.466	18.00741080777578	0.0	0.0	0.026	0.22654800815721152
3.92	1578.261	18.069335322584504	0.0	0.0	0.022	0.20860488968382312
3.96	1573.858	17.963291346521107	0.0	0.0	0.022	0.20860488968382312
4.0	1569.41	18.047711766315416	0.0	0.0	0.024	0.21777052142105924
